Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-1.3722690366251802,43.75094487661579,1
20.8,-1.3793270283587655,41.48705677967423,1
21.632,-1.4668592509586793,39.346722233547,1
22.497280000000003,-1.4978550798483448,37.19642651725758,1
23.397171200000006,-1.4581630263577035,35.597129217742534,1
24.33305804800001,-1.499593445004078,33.53082054097884,1
25.30638036992001,-1.4674346469652653,32.175979213196946,1
26.318635584716812,-1.4850570601730726,30.458312603081225,1
27.371381008105487,-1.5160025727175779,28.64752108065815,1
28.46623624842971,-1.5354931805362884,27.195236663805048,1
29.6048856983669,-1.4799502839343892,25.897755219585008,1
30.78908112630158,-1.4867564685350958,24.55709732706465,1
32.02064437135364,-1.4973998576287457,23.26893197335916,1
33.301470146207784,-1.5467211437727717,21.57927015520285,1
34.633528952056096,-1.5346292820880318,20.544910198665697,1
36.018870110138344,-1.5295992677461954,19.29273169507266,1
37.45962491454388,-1.5455689952270941,17.805929089650732,1
38.958009911125636,-1.576752502015919,16.9135477299469,1
40.51633030757066,-1.583912387899104,15.40263070494159,1
42.13698351987349,-1.58845936100883,14.70995723556166,1
43.82246286066843,-1.5917875700068933,13.528462614023255,1
45.57536137509517,-1.5926020835237118,12.420859804043147,1
47.39837583009898,-1.5957789385241286,11.040360293835562,1
49.29431086330294,-1.6293841166496215,11.006957013143875,1
51.26608329783506,-1.6673374316750342,8.961525001622746,1
53.316726629748466,-1.6613590982632713,8.260716463802495,1
55.44939569493841,-1.65941240350598,7.3262608386206125,1
57.66737152273595,-1.641777570054425,6.440967864680815,1
59.974066383645386,-1.645513273476952,5.56554529572395,1
62.373029038991206,-1.6603781280957688,4.692614473617992,1
64.86795020055085,-1.682042467710093,3.665702224464951,1
67.4626682085729,-1.6905654672509456,2.7359237567950956,1
70.16117493691581,-1.7060250501211307,1.7822442947584989,1
72.96762193439245,-1.7277966769267181,1.0263361975078595,1
75.88632681176816,-1.7584582439510914,0.09869555117285245,1
78.92177988423889,-1.7664890582002486,-0.846885798008401,1
82.07865107960845,-1.7610724886491982,-1.642491529837942,1
85.3617971227928,-1.7842607132801633,-2.521583727427611,1
88.77626900770451,-1.8027123393050921,-3.344611381203265,1
92.3273197680127,-1.8114256731176925,-4.310409664448173,1
96.02041255873321,-1.8232412013217876,-5.272590023437452,1
99.86122906108254,-1.8234755007389343,-6.03529852084705,1
103.85567822352584,-1.855061641604084,-6.839902955258481,1
108.00990535246687,-1.8480263226954066,-7.849221789433159,1
112.33030156656555,-1.889459142612517,-8.61186867035935,1
116.82351362922817,-1.8850560976719672,-9.609562975357548,1
121.4964541743973,-1.924069853849764,-10.395142850903952,1
126.3563123413732,-1.9354126287320164,-11.252686310376191,1
131.41056483502814,-1.957645978813866,-12.271530593338937,1
136.66698742842928,-1.935057389564111,-13.858994252819485,1
142.13366692556644,-1.9797161517439574,-13.979699119351402,1
147.8190136025891,-1.9976496607061174,-15.236294396794051,1
153.7317741466927,-2.0244429742333456,-16.414464381128546,1
159.8810451125604,-2.033777569164774,-17.20954278224032,1
166.27628691706283,-2.0479785318692425,-18.136549767583418,1
172.92733839374534,-2.1221798442131066,-19.334850436044434,1
179.84443192949516,-2.1370778031325113,-20.401483356687052,1
187.03820920667496,-2.1673518660197373,-21.937155138196516,1
194.51973757494196,-2.171523565157604,-22.34698821887239,1
202.30052707793965,-2.2088759130376285,-24.64250994796319,1
210.39254816105725,-2.253975480034321,-24.775411401718884,1
218.80825008749954,-2.296647467815762,-26.3718572793924,1
227.56058009099954,-2.330300436519018,-27.397187729286788,1
236.66300329463954,-2.389796690160955,-28.455330541824253,1
246.12952342642512,-2.4510141393568796,-29.607683620908883,1
255.97470436348215,-2.4614646653379513,-30.94885790764502,1
266.21369253802146,-2.5257377477692367,-32.405636639208986,1
