Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.486373833075163,-90.9043651379007,2
40.4,-25.34575324997388,-91.05264652582906,2
40.804,-24.769616037769392,-89.80083547898496,1
41.21204,-24.950852140478986,-91.78487067939295,1
41.6241604,-24.926714354032196,-92.23680839355103,2
42.040402004,-24.794687843470587,-90.8849897612498,2
42.460806024040004,-24.340261828646174,-90.84139650970832,1
42.885414084280406,-24.294011419824454,-91.13181011789908,1
43.31426822512321,-24.242062717622524,-92.13093984963413,1
43.74741090737444,-24.171641555551766,-90.86113569214933,1
44.184885016448185,-24.77284316073921,-92.98603221010433,1
44.62673386661267,-24.304409770083584,-92.06754161391827,1
45.07300120527879,-24.35172978255059,-91.98828481353428,1
45.52373121733158,-24.301637182497405,-90.54163608645551,2
45.9789685295049,-24.121345199591467,-91.58967813737098,1
46.43875821479995,-24.179947386098977,-92.14116049435415,1
46.903145796947946,-23.89964202990337,-91.59705431739233,2
47.372177254917425,-24.150115575481216,-92.36303673418278,1
47.8458990274666,-23.858851836125027,-90.47545439981089,2
48.32435801774127,-23.700487224947864,-91.36421482469984,1
48.80760159791868,-23.505426845307458,-91.84878521725501,1
49.29567761389787,-23.463424043677666,-91.87972012350181,1
49.788634390036854,-23.26228076036569,-93.02241960562134,1
50.28652073393722,-23.310576896695313,-93.1858497775512,1
50.7893859412766,-23.114113642790084,-91.61644824054875,1
51.29727980068937,-23.296098915783027,-92.57861137610439,1
51.81025259869626,-22.986045985641805,-92.24957514317975,1
52.32835512468322,-22.825023674938567,-91.46065219470735,1
52.851638675930054,-22.53755455561938,-92.43288395449451,1
53.380155062689354,-23.00036230025574,-92.39790096804771,1
53.91395661331625,-22.770160033344766,-91.7952953807579,1
54.45309617944942,-22.53916361730973,-91.30294073659263,1
54.99762714124391,-22.364299421725242,-92.20347780781208,1
55.54760341265635,-22.51744592128432,-93.52976089475419,1
56.103079446782914,-22.431818172333468,-93.1794945186657,1
56.66411024125075,-22.450768890105238,-92.97151156482255,1
57.23075134366326,-22.027504499657372,-91.76873218093218,1
57.80305885709989,-22.25782155169559,-92.20353268532654,1
58.38108944567089,-22.132815713141177,-92.16311837635016,1
58.9649003401276,-22.098677322273474,-92.38209269901466,1
59.554549343528876,-21.886295579082624,-92.15496693846036,1
60.150094836964165,-21.69851074851901,-91.90706542757088,1
60.751595785333805,-21.73176852173155,-92.86649239579322,1
61.35911174318714,-21.633927252639147,-92.28147332967603,1
61.972702860619016,-21.562787328213332,-91.7808513124156,1
62.59242988922521,-21.247921721915397,-92.756016511354,1
63.21835418811746,-21.425787896097013,-92.39402711029643,1
63.850537729998635,-21.401673052779845,-92.02551214515813,1
64.48904310729863,-21.087542205825574,-92.42366853082432,1
65.13393353837161,-20.95962783619835,-91.96685249274233,1
65.78527287375532,-20.9531898650561,-92.5772762765352,1
66.44312560249287,-20.842748420745536,-93.28472444889564,1
67.1075568585178,-20.74266725384237,-92.77999446087145,1
67.77863242710298,-20.608801318282854,-93.27224523722889,1
68.456418751374,-20.80549736935122,-93.13727680309907,1
69.14098293888775,-20.62770868855623,-92.68626448597587,1
69.83239276827662,-20.30611043899858,-92.62377247738786,1
70.53071669595938,-20.3379417509309,-92.91815997570353,1
71.23602386291898,-20.215977356113044,-93.26932828545864,1
71.94838410154817,-19.96381216817364,-92.88023883665504,1
72.66786794256366,-19.897642829806095,-93.16098205697617,1
73.39454662198929,-19.935981046810866,-92.68614947111922,1
74.12849208820919,-19.824492077551067,-93.45099102898753,1
74.86977700909128,-19.503193977062338,-92.64443510922078,1
75.6184747791822,-19.736066151482056,-92.51928205546,1
76.37465952697401,-19.559629201938215,-93.0379858209651,1
77.13840612224375,-19.337245044852114,-93.15648600038502,1
77.90979018346619,-19.311259972342786,-92.8199735001642,1
78.68888808530085,-19.228745000982368,-93.02570899207684,1
79.47577696615386,-19.1010800251976,-93.2118576677517,1
80.2705347358154,-18.919737237489965,-93.22284369159291,1
81.07324008317356,-18.872507018953424,-93.77056616558968,1
81.8839724840053,-18.631692541764615,-92.73396250304825,1
82.70281220884536,-18.77815693657737,-93.49783831298967,1
83.52984033093381,-18.733344941657474,-92.65561651356265,1
84.36513873424315,-18.554941377708246,-92.46596600989675,1
85.20879012158558,-18.538234663382998,-93.32782664808883,1
86.06087802280143,-18.410438416604833,-92.70463129258417,1
86.92148680302945,-18.152744182694114,-93.12611624074032,1
87.79070167105975,-18.292930171869273,-93.26657655719237,1
88.66860868777034,-18.28725666572571,-93.39818289700015,1
89.55529477464805,-18.00488995354065,-93.42584810219525,1
90.45084772239453,-18.147312394422833,-92.97407220837061,1
91.35535619961847,-17.999792336857208,-93.12061568186846,1
92.26890976161465,-17.84165356652443,-93.37432448085636,1
93.1915988592308,-17.848729094852438,-92.95442605927994,1
94.1235148478231,-17.570613633244314,-93.08173636761984,1
95.06474999630133,-17.529902208485883,-93.88832762053482,1
96.01539749626434,-17.543366882622742,-93.69927810614791,1
96.97555147122699,-17.364934533224602,-93.91060226897922,1
97.94530698593927,-17.391411214911876,-93.27623418389305,1
98.92476005579866,-17.248216711787084,-93.46020687093424,1
99.91400765635665,-17.231140465906634,-93.44079020060688,1
100.91314773292021,-17.170748792194452,-93.28654288801351,1
101.92227921024941,-16.96942842569345,-93.72868685283834,1
102.94150200235191,-16.980503857685274,-94.23705050944082,1
103.97091702237543,-16.76981848468399,-93.594292082607,1
105.01062619259919,-16.709108039799595,-93.9314196596172,1
106.06073245452518,-16.70790675653713,-93.82521123762469,1
107.12133977907044,-16.664580896077705,-94.07108555994404,1
108.19255317686114,-16.53473694164616,-94.46732837487914,1
109.27447870862976,-16.323786067534765,-93.7442248324911,1
110.36722349571606,-16.271142409528533,-94.08015175959125,1
111.47089573067322,-16.33478889851114,-94.17720019366323,1
112.58560468797995,-16.18410673876111,-94.39992904807161,1
113.71146073485976,-15.97507279053325,-94.10827277832804,1
114.84857534220835,-15.817200114693035,-94.05832357392183,1
115.99706109563043,-15.892772111610943,-94.14668028049758,1
117.15703170658674,-15.96296065177254,-94.18857330663562,1
118.3286020236526,-15.779911576619725,-94.20734759714074,1
119.51188804388913,-15.544295430710966,-94.43409987419577,1
120.70700692432803,-15.48584058186632,-94.11665443535108,1
121.91407699357131,-15.465922192778036,-94.87718608191699,1
123.13321776350703,-15.361309271016484,-94.51577398093127,1
124.3645499411421,-15.201822161189629,-94.23099401877084,1
125.60819544055353,-15.164159840833195,-94.73250780311245,1
126.86427739495906,-15.260360636456932,-94.90999177063861,1
128.13292016890864,-15.058884095644107,-94.65696140723179,1
129.41424937059773,-14.801858335678169,-94.81641520388365,1
130.7083918643037,-14.861547673832131,-94.40662277932157,1
132.01547578294674,-14.924763324552844,-95.24901802567831,1
133.3356305407762,-14.63220519537161,-94.36152059633994,1
134.66898684618397,-14.490007537547893,-94.94469029250358,1
136.01567671464582,-14.529038724758866,-95.48114269728822,1
137.37583348179228,-14.525369918352999,-95.2383595223724,1
138.7495918166102,-14.334096270462757,-95.03101896761618,1
140.13708773477632,-14.24957336014972,-95.24626763163869,1
141.5384586121241,-14.271874240566115,-95.37438924368348,1
142.95384319824532,-14.070559029642183,-95.3793841241947,1
144.38338163022777,-13.804828357232326,-95.00693370076104,1
145.82721544653006,-13.876622234600354,-95.28771576251305,1
147.28548760099537,-13.90400459013298,-95.23955132684742,1
148.75834247700533,-13.646953933280443,-95.43711021791351,1
150.2459259017754,-13.635743351425043,-95.60891256593757,1
151.74838516079316,-13.608311359256188,-95.43745234986568,1
153.26586901240108,-13.350931614965685,-95.84217438037557,1
154.7985277025251,-13.400829144117301,-95.31794262765412,1
156.34651297955034,-13.299145047169533,-95.50362555035989,1
157.90997810934584,-13.247567191741144,-95.70122041420042,1
159.4890778904393,-13.039379460375914,-95.4602014266998,1
161.08396866934368,-13.095301574719429,-95.83470440730412,1
162.6948083560371,-12.889890901191457,-95.81718736045241,1
164.32175643959746,-12.788470331993663,-95.80871198579716,1
165.96497400399343,-12.882111798429223,-95.67195174297404,1
167.62462374403336,-12.729739238946422,-96.25296915148787,1
169.30086998147368,-12.598918265116755,-96.16764537015395,1
170.9938786812884,-12.54819962921366,-96.49341370641889,1
172.7038174681013,-12.353983564343963,-96.37175637083226,1
174.43085564278232,-12.283361287039359,-95.76391942709749,1
176.17516419921014,-12.330286000306078,-96.26220847642416,1
177.93691584120225,-12.126385877663424,-96.30642314122466,1
179.7162849996143,-12.016656928715818,-96.24652890935344,1
181.51344784961043,-12.0141004726116,-96.45384039403041,1
183.32858232810653,-11.893922663334578,-96.53377610995038,1
185.1618681513876,-11.758501586281325,-96.95370070117994,1
187.0134868329015,-11.72552193658163,-96.63051885022404,1
188.8836217012305,-11.534434710613477,-96.58474910813334,1
190.77245791824282,-11.556985217122115,-96.82261718459637,1
192.68018249742525,-11.46665596104301,-96.95323554908828,1
194.6069843223995,-11.206467856412075,-97.7469290448812,1
196.5530541656235,-11.25519491820009,-96.71825409139805,1
198.51858470727976,-11.11081446934524,-97.36495974671789,1
200.50377055435257,-11.097519987981984,-96.94065008988065,1
202.50880825989609,-10.959857216587597,-97.1912617657098,1
204.53389634249504,-10.853628558418555,-97.02653102379892,1
206.57923530591998,-10.876697964699256,-97.15534196467833,1
208.6450276589792,-10.666529396120794,-97.31630490192634,1
210.731477935569,-10.709915248110862,-97.48678773576967,1
212.8387927149247,-10.529659079782991,-97.303541613068,1
214.96718064207394,-10.647282316654708,-97.73160135458448,1
217.11685244849468,-10.452121673042889,-97.62437700442842,1
219.28802097297964,-10.26268378084132,-97.60460774186774,1
221.48090118270943,-10.26641069907711,-97.9852740876089,1
223.69571019453653,-10.363300620838006,-98.21249516850497,1
225.9326672964819,-10.195413675432654,-98.13509131673209,1
228.1919939694467,-9.874273346682655,-97.81250730173639,1
230.47391390914117,-9.810023818804092,-98.09764772320338,1
232.7786530482326,-9.93941935227539,-98.53160979286871,1
235.10643957871494,-9.831104838045444,-98.43921130895878,1
237.4575039745021,-9.601913375135942,-98.22625834088893,1
239.8320790142471,-9.38609687736055,-98.24579994066345,1
242.23039980438958,-9.394528858219827,-98.38898744514995,1
244.65270380243348,-9.533158870505536,-98.99208104693253,1
247.0992308404578,-9.315724921584518,-98.768876018276,1
249.5702231488624,-9.128913679737508,-98.49329775487894,1
252.06592538035102,-9.208066392020948,-98.99460669774348,1
254.58658463415452,-9.151191713077905,-98.89577438487035,1
257.13245048049606,-9.034938456795214,-99.17257036374235,1
259.70377498530104,-8.777862396654326,-99.03568449313347,1
262.30081273515407,-8.831681731851923,-99.08075627555422,1
264.92382086250564,-8.768537435354187,-99.39925870925134,1
267.5730590711307,-8.549929205470082,-99.20924206162402,1
270.24878966184195,-8.489336613341367,-99.1345456150989,1
272.9512775584604,-8.534924618428038,-99.87288313392412,1
275.680790334045,-8.45010473658474,-99.78267624524005,1
278.4375982373855,-8.237643543843037,-99.80787104683279,1
281.2219742197593,-8.186114436639121,-100.21182871802682,1
284.03419396195693,-8.295095022871816,-100.02874458540663,1
286.8745359015765,-8.103370395151863,-100.24338890370733,1
289.74328126059225,-7.999587350635843,-100.40744628990957,1
292.6407140731982,-7.93668416638228,-100.5784574132301,1
295.5671212139302,-7.786309401713831,-100.07873154461524,1
298.5227924260695,-7.693317189739197,-100.3549410027779,1
301.5080203503302,-7.7666656102564575,-100.63040124607545,1
304.5231005538335,-7.694434480030873,-100.8387757420843,1
307.5683315593718,-7.480275255001891,-100.78655429767707,1
310.64401487496554,-7.416218014569773,-100.9488442095669,1
313.7504550237152,-7.475642946654563,-101.40467205085653,1
316.88795957395234,-7.254059962706708,-101.29282304458185,1
320.0568391696919,-7.181053236697096,-101.32810184175828,1
323.25740756138885,-7.208736718220067,-101.57006597696301,1
326.48998163700276,-6.979055427666938,-101.36087039274054,1
329.7548814533728,-6.881631543815609,-101.50360447907381,1
333.0524302679065,-6.947603564285547,-101.94468987251938,1
336.3829545705856,-6.769761916024465,-101.90977208700613,1
339.74678411629145,-6.632892659934529,-101.94175178477641,1
343.14425195745434,-6.673841759848441,-102.31858702419487,1
346.5756944770289,-6.493325715905074,-102.04004275857977,1
350.0414514217992,-6.432877099980232,-102.36625385573826,1
353.5418659360172,-6.410985015920485,-102.62112630954644,1
357.07728459537736,-6.239000736127857,-102.68199127859059,1
360.64805744133116,-6.193342546331453,-102.77064177153864,1
364.25453801574446,-6.163575765059729,-103.02900786765963,1
367.8970833959019,-5.932534491957356,-102.86317348066355,1
371.5760542298609,-5.982914323789174,-103.32132142647691,1
375.2918147721595,-5.869480390884288,-103.20736005074876,1
379.0447329198811,-5.741738387881569,-103.4582491166053,1
382.8351802490799,-5.783800229391871,-103.80591223826468,1
386.6635320515707,-5.592668384240597,-103.61434406051102,1
390.5301673720864,-5.621474662137639,-104.16008162590457,1
394.4354690458073,-5.498301770050055,-103.8941933152266,1
398.37982373626534,-5.369254135221987,-104.14254720188103,1
402.36362197362797,-5.41758442711352,-104.62148493889649,1
406.38725819336423,-5.21429842110765,-104.26156848560689,1
410.4511307752979,-5.179735870247384,-104.53488432413707,1
414.5556420830509,-5.110376634241035,-104.69574980765341,1
418.7011985038814,-4.9861158368178256,-104.95248516862394,1
422.8882104889202,-5.00751230125302,-105.44351581840033,1
