Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.19307937554582,-91.05664571505304,2
40.4,-24.041425482426288,-93.29982557275798,2
40.804,-23.847680634641605,-92.7526507364146,2
41.21204,-24.102826178163333,-91.92213285546786,2
41.6241604,-23.80269484196048,-93.2840105429789,1
42.040402004,-23.732150255782106,-92.21400112539249,2
42.460806024040004,-23.521971575466964,-93.23634148918086,1
42.885414084280406,-23.588113213593036,-92.30957225279536,1
43.31426822512321,-23.553861331777988,-92.92635693787464,2
43.74741090737444,-23.342815394614057,-90.87500895163066,2
44.184885016448185,-23.25129618884151,-93.46268321642827,1
44.62673386661267,-23.2023452148289,-93.08632983059363,1
45.07300120527879,-23.207249043631542,-92.10620358312754,1
45.52373121733158,-23.165458658826267,-92.59299131717435,2
45.9789685295049,-23.04560034988185,-93.4840015248335,2
46.43875821479995,-22.809927669481375,-92.35955736533413,1
46.903145796947946,-22.611697881959696,-92.02343434400998,1
47.372177254917425,-22.54514723546157,-93.60812376532492,1
47.8458990274666,-22.617714685923293,-92.80875285524135,1
48.32435801774127,-22.510528967613435,-92.62043874248502,1
48.80760159791868,-22.44487000774458,-92.28719672823851,2
49.29567761389787,-22.319820506445634,-93.51586975870036,1
49.788634390036854,-22.067132082179686,-92.82218005374997,1
50.28652073393722,-22.27436355604264,-93.91266338610353,1
50.7893859412766,-22.157794763085576,-92.4257249091771,1
51.29727980068937,-22.070789416192028,-92.56528842455316,1
51.81025259869626,-21.84209286059224,-93.89899067102127,1
52.32835512468322,-21.603592260910794,-92.92283587212991,1
52.851638675930054,-21.65284310575843,-93.26027767681916,1
53.380155062689354,-21.676936257461797,-91.75601895411398,1
53.91395661331625,-21.67505133582601,-94.05972257879475,1
54.45309617944942,-21.4048468032522,-93.53007942805708,1
54.99762714124391,-21.281947731120614,-92.63071634163158,1
55.54760341265635,-21.309519995614828,-92.48180079228035,1
56.103079446782914,-21.23623504782884,-93.8168121251656,1
56.66411024125075,-20.993478859201662,-93.5703162588718,1
57.23075134366326,-20.849131111562503,-92.96857658121047,1
57.80305885709989,-20.879907671080826,-93.29471059699227,1
58.38108944567089,-21.027503465989323,-93.42664693426379,1
58.9649003401276,-20.918798601588232,-93.8121365010019,1
59.554549343528876,-20.508760712830004,-93.05437140827576,1
60.150094836964165,-20.502748545247893,-93.1661591999554,1
60.751595785333805,-20.56579819462101,-93.70482108546378,1
61.35911174318714,-20.451594228940827,-93.75973018531897,1
61.972702860619016,-20.367775537065253,-93.93455786988248,1
62.59242988922521,-20.07743565021712,-92.64405503562135,1
63.21835418811746,-20.237107542271573,-93.98568760718953,1
63.850537729998635,-20.11871411470203,-93.72731988702726,1
64.48904310729863,-19.985916006363716,-93.88454682225797,1
65.13393353837161,-19.758375368621078,-92.60468701151451,1
65.78527287375532,-19.83742152309771,-94.27389013855736,1
66.44312560249287,-19.662652446485104,-93.80845930328536,1
